ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,25.54%,2.08%,0.975575441,8.14%,80.00%,60.00%,0.625,0.714,0.382,0.688,0.560,0.500
2,0.000,1.000,0.000,0.000,0.000,0.000,24.96%,0.40%,1.350801027,7.75%,85.00%,75.00%,0.599,0.431,0.737,0.634,0.680,0.725
3,0.000,0.000,1.000,0.000,0.000,0.000,23.12%,1.35%,1.040006305,8.78%,80.00%,40.00%,0.518,0.590,0.443,0.777,0.560,0.200
4,0.000,0.000,0.000,1.000,0.000,0.000,20.38%,-0.26%,1.291898675,8.86%,70.00%,60.00%,0.396,0.320,0.682,0.788,0.320,0.500
5,0.000,0.000,0.000,0.000,1.000,0.000,16.38%,-0.08%,0.97470562,4.61%,80.00%,45.00%,0.219,0.351,0.381,0.200,0.560,0.275
6,0.000,0.000,0.000,0.000,0.000,1.000,17.35%,-0.72%,1.227074581,8.07%,75.00%,50.00%,0.262,0.243,0.620,0.679,0.440,0.350
7,0.500,0.500,0.000,0.000,0.000,0.000,29.49%,2.46%,1.060690113,6.49%,90.00%,70.00%,0.800,0.778,0.462,0.460,0.800,0.650
8,0.500,0.000,0.500,0.000,0.000,0.000,25.59%,1.96%,1.010396834,8.34%,80.00%,50.00%,0.627,0.693,0.415,0.716,0.560,0.350
9,0.000,0.500,0.500,0.000,0.000,0.000,24.82%,1.24%,1.138027976,7.72%,75.00%,65.00%,0.593,0.572,0.536,0.630,0.440,0.575
10,0.500,0.000,0.000,0.500,0.000,0.000,22.76%,1.89%,0.850334931,5.98%,85.00%,55.00%,0.502,0.682,0.263,0.390,0.680,0.425
11,0.000,0.500,0.000,0.500,0.000,0.000,26.13%,0.70%,1.351860421,8.49%,80.00%,70.00%,0.651,0.481,0.738,0.736,0.560,0.650
